time,cwnd
0,1
0.1,64.0156
0.2,32.0468
0.3,33.061
0.4,16.5909
0.5,17.5874
0.6,8.87872
0.7,4.81961
0.8,5.78046
0.9,6.75063
1,7.72705
1.1,8.70791
1.2,9.69203
1.3,10.6786
1.4,11.6671
1.5,5.9612
1.6,6.90541
1.7,7.8623
1.8,8.82793
1.9,9.79987
2,10.7765
2.1,11.7567
2.2,12.7397
2.3,13.725
2.4,14.7121
2.5,15.7007
2.6,16.6905
2.7,17.6813
2.8,9.06441
2.9,10.113
3,11.1522
3.1,12.1844
3.2,13.2114
3.3,6.82963
3.4,7.79599
3.5,8.76903
3.6,9.74691
3.7,10.7284
3.8,11.7127
3.9,6.02527
4,6.9606
4.1,7.91069
4.2,8.87099
4.3,9.83863
4.4,10.8117
4.5,11.789
4.6,12.7695
4.7,13.7526
4.8,14.7378
4.9,15.7248
5,16.7132
5.1,17.7028
5.2,18.6934
5.3,9.63682
5.4,10.6286
5.5,11.6214
5.6,12.615
5.7,13.6094
5.8,14.6043
5.9,15.5997
6,8.05269
6.1,8.99764
6.2,9.95284
6.3,10.9157
6.4,11.8843
6.5,12.8575
6.6,13.8344
6.7,14.8141
6.8,7.64018
6.9,8.63106
7,9.62313
7.1,10.6162
7.2,5.62944
7.3,6.62233
7.4,7.61554
7.5,8.6093
7.6,9.60365
7.7,10.5985
7.8,11.5939
7.9,12.5898
8,13.586
8.1,14.5825
8.2,7.52797
8.3,8.53209
8.4,4.60635
8.5,5.60523
8.6,6.60186
8.7,7.5978
8.8,4.17799
8.9,5.2623
9,6.31482
9.1,7.35055
9.2,8.37629
9.3,9.39563
9.4,10.4106
9.5,11.4225
9.6,12.4322
9.7,13.4401
9.8,14.4468
9.9,15.4524
10,16.4572
10.1,17.4614
10.2,8.75932
10.3,9.73819
10.4,10.7205
10.5,5.40688
10.6,6.43514
10.7,7.45383
10.8,8.46688
10.9,9.47636
11,10.4835
11.1,11.4889
11.2,12.4932
11.3,13.4965
11.4,6.74827
11.5,7.725
11.6,4.29484
11.7,5.35455
11.8,6.39147
11.9,3.42494
12,4.47286
12.1,5.497
12.2,6.51066
12.3,7.51892
12.4,8.52412
12.5,9.52747
12.6,10.5296
12.7,11.531
12.8,12.5319
12.9,13.5324
13,14.5326
13.1,15.5326
13.2,16.5326
13.3,17.5324
13.4,18.5321
13.5,9.34677
13.6,10.3666
13.7,11.3824
13.8,12.3954
13.9,6.3575
14,7.38712
14.1,8.40833
14.2,9.42416
14.3,10.4364
14.4,11.446
14.5,12.4537
14.6,13.46
14.7,14.4653
14.8,15.4697
14.9,16.4735
15,17.4767
15.1,18.4795
15.2,19.4819
15.3,10.0943
15.4,5.38423
15.5,6.41622
15.6,7.43755
15.7,8.45258
15.8,9.46361
15.9,10.4719
16,11.4784
16.1,12.4835
16.2,13.4876
16.3,14.4909
16.4,15.4937
16.5,8.12561
16.6,9.17321
16.7,10.2106
16.8,11.2406
16.9,12.2654
17,13.2861
17.1,14.3036
17.2,15.3187
17.3,16.3318
17.4,17.3432
17.5,8.72917
17.6,9.71111
17.7,10.6959
17.8,11.6829
17.9,12.6717
18,6.49225
18.1,7.50303
18.2,8.51014
18.3,9.51498
18.4,10.5183
18.5,11.5207
18.6,12.5224
18.7,13.5236
18.8,14.5244
18.9,15.525
19,16.5254
19.1,17.5256
19.2,18.5257
19.3,19.5258
19.4,9.9659
19.5,10.9276
19.6,11.8952
19.7,12.8676
19.8,13.8437
19.9,14.8229
